Retailer,Category,Sub-Category,Domain,URL,Colors,Size,Product Hierarchy,Brand Name,Product Name,SKU,Reg. Price,Promo Price,Prime Price,Promo Tag,Each Price,Product Description,Product Details,# of Images,Marketplace,Nutrition Information,Dietary Need,Total Product Star Rating,Total # of Ratings,Total Recommendation Percentage,Delivery Options,Total Number of Q&A,UPC,Promo Tag-PICKUP,Reg. Price-PICKUP,Promo Price-PICKUP,Promo Tag-DELIVERY,Reg. Price-DELIVERY,Promo Price-DELIVERY,Promo Tag-SHIP,Reg. Price-SHIP,Promo Price-SHIP,DeliveryOption,ImageUrls,Ingredients,Promo Tag-,Reg. Price-,Promo Price-
Kroger,Beverages,Coffee,Kroger.com,https://www.kroger.com/p/hershey-s-chocolate-syrup/0003400000312?fulfillment=SHIP,,24 oz,Home>Beverages>Coffee>Hershey's Chocolate Syrup,,Hershey's Chocolate Syrup,0003400000312,,,,,,"Genuine chocolate flavor packed in the classic bottle of Hershey's Chocolate Syrup can do no wrong. Want to add it to your milk, hot cocoa, and coffee or drizzle it over your brownies and cakes, or use it to make chocolate floats and sundaes? No matter what you're making or who is at your gathering, pop open the lid, then squeeze, swirl, dot, or drizzle the syrup onto some of your favorite drinks and desserts. Squeeze the syrup onto your ice cream sundaes as a tasty topping or stir it into a cold glass of milk chocolaty milk mustaches, anyone? Do you need a little sweetness in your midday coffee to make a mocha, some extra goodness in your hot cocoa, or a chocolate drizzle over your dessert? Enjoy the sweet, savory, and delicious taste of chocolate syrup on everything from cakes to cookies. Put all your creative vibes down on the counter and start designing edible crafts too. Hershey's Chocolate Syrup makes great holiday gifts for the bakers in your family or can help one-up your baking recipes. Once you're finished, place the bottle in the refrigerator to keep the syrup fresh.A fat-free and gluten-free kosher genuine chocolate-flavored syrup, packaged in a closeable and squeezable bottle for easy pouringPerfect in homemade desserts for birthday parties, anniversary dates, back to school events, and graduation celebrationsPour the classic taste of Hershey's Genuine Chocolate flavor onto your ice cream and desserts or into your milk and coffee.Nothing says sweet like the classic taste of Hershey's Syrup.",,6,,"Nutrition Facts
servings per container
Serving size1tbsp (19 g)
------

Amount per serving
Calories45
------

% Daily value*

Total Fat0g0%

Saturated Fat0g0%

Trans Fat0g

Cholesterol0mg0%

Sodium5mg0.22%

Total Carbohydrate12g4.36%

Dietary Fiber1g3.57%

Sugar10g

Protein0g

------

Calcium0mg0%

Iron0.72mg4%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Contains Corn and Its Derivatives.,,0,,,,0003400000312,,2.69,,,2.69,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0003400000312|https://www.kroger.com/product/images/large/back/0003400000312|https://www.kroger.com/product/images/large/left/0003400000312|https://www.kroger.com/product/images/large/right/0003400000312|https://www.kroger.com/product/images/large/top/0003400000312|https://www.kroger.com/product/images/large/bottom/0003400000312,"High Fructose Corn Syrup; Corn Syrup; Water; Cocoa*; Sugar; Contains 2% or Less of: Potassium Sorbate, To Maintain Freshness; Xanthan Gum; Salt; Mono- and Diglycerides*; Polysorbate 60; Vanillin, Artificial Flavor. *Adds A Negligible Amount of Fat",,,
Kroger,"Beer, Wine & Liquor",Spiked Seltzers & Flavored Malt Beverages,Kroger.com,https://www.kroger.com/p/white-claw-variety-pack-no-1-black-cherry-ruby-grapefruit-raspberry-natural-lime-hard-seltzer/0063598554890?fulfillment=PICKUP,,12 cans / 12 fl oz,"Home>Beer, Wine & Liquor>Spiked Seltzers & Flavored Malt Beverages>White Claw Variety Pack No.1 Black Cherry Ruby Grapefruit Raspberry Natural Lime Hard Seltzer",,White Claw Variety Pack No.1 Black Cherry Ruby Grapefruit Raspberry Natural Lime Hard Seltzer,0063598554890,,,,,,"Discover a wave of pure, crisp refreshment with White Claw® Hard Seltzer Variety Pack Flavor Collection No.1. Crafted with quality ingredients, White Claw® Hard Seltzer is made from a blend of seltzer water, gluten-free alcohol, and a hint of fruit flavor. The original Flavor Collection No.1 includes four refreshing flavors for everyone to enjoy with sweet Black Cherry, bright & citrusy Ruby Grapefruit, ripe Raspberry, and zesty Natural Lime. Each 12-ounce can contains 100 calories, 5% alcohol, and 2g carbs, making them perfect to share in your finest moments. They’re a great choice for backyard barbecues, sitting on the patio or porch, or entertaining family and friends at home. Please drink responsibly (21+).Spiked sparkling water with a hint of fruit flavorFour (4) refreshing flavors: Sweet Black Cherry, bright & citrusy Ruby Grapefruit, ripe Raspberry, and zesty Natural LimeMade from a blend of seltzer water, gluten-free alcohol, and a hint of fruit flavorReady-to-drink alcoholic beverages that contain 100 calories, 5% alcohol, 2g carbs per 12oz can, and are gluten-free",,5,,"Nutrition Facts
servings per container
Serving size1can (355 ml)
------

Amount per serving
Calories100
------

% Daily value*

Total Fat0g0%

Sodium20mg0.87%

Total Carbohydrate2g0.73%

Sugar2g

Protein0g

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Free from Does Not Contain Declaration Obligatory Allergens.,,0,,,,0063598554890,,$18.99,14.99,,,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0063598554890|https://www.kroger.com/product/images/large/back/0063598554890|https://www.kroger.com/product/images/large/left/0063598554890|https://www.kroger.com/product/images/large/right/0063598554890|https://www.kroger.com/product/images/large/top/0063598554890,"Natural Lime Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Lime Juice Concentrate, Sodium Citrate.Black Cherry Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Cherry Juice Concentrate, Sodium Citrate.Ruby Grapefruit Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Grapefruit Juice Concentrate, Sodium Citrate.Raspberry Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Raspberry Juice Concentrate, Sodium Citrate",,$18.99,14.99
Kroger,Beverages,Coffee,Kroger.com,https://www.kroger.com/p/starbucks-frappuccino-mocha-iced-coffee-drink/0001200000452?fulfillment=SHIP,,13.7 fl oz,Home>Beverages>Coffee>Starbucks Frappuccino Mocha Iced Coffee Drink,,Starbucks Frappuccino Mocha Iced Coffee Drink,0001200000452,,,,,,"This Starbucks coffee drink offers the bold, delicious taste of coffee with the rich flavor you know and love. This indulgence is proof that you can enjoy a little Starbucks wherever you may be.",,2,,"Nutrition Facts
servings per container
Serving size1bottle
------

Amount per serving
Calories270
------

% Daily value*

Total Fat4.5g5.77%

Saturated Fat3g15%

Trans Fat0g

Cholesterol20mg6.67%

Sodium140mg6.09%

Total Carbohydrate48g17.45%

Dietary Fiber0g0%

Sugar46g

Protein10g

------

Calcium316mg25%

Iron0mg0%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Contains Milk and its Derivatives.,,0,,,,0001200000452,,2.99,,,2.99,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0001200000452|https://www.kroger.com/product/images/large/right/0001200000452,"Brewed Starbucks Coffee (Water, Coffee), Reduced-fat Milk, Sugar, Cocoa, Pectin.",,,
Kroger,"Beer, Wine & Liquor",Domestic & Imported Beer,Kroger.com,https://www.kroger.com/p/bud-light-lager-beer/0001820053168?fulfillment=PICKUP,,,"Home>Beer, Wine & Liquor>Domestic & Imported Beer>Bud Light® Lager Beer",,Bud Light® Lager Beer,0001820053168,,,,,,Take summer by the coolers.,,4,,,,,0,,,,0001820053168,,$27.99,18.99,,$27.99,18.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0001820053168|https://www.kroger.com/product/images/large/back/0001820053168|https://www.kroger.com/product/images/large/left/0001820053168|https://www.kroger.com/product/images/large/bottom/0001820053168,,,,
Kroger,"Beer, Wine & Liquor",Domestic & Imported Beer,Kroger.com,https://www.kroger.com/p/michelob-ultra-light-beer/0001820096715?fulfillment=PICKUP,,24 cans / 12 fl oz,"Home>Beer, Wine & Liquor>Domestic & Imported Beer>Michelob Ultra Light Beer",,Michelob Ultra Light Beer,0001820096715,,,,,,,,6,,,,,0,,,,0001820096715,,$34.99,21.97,,$34.99,21.97,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0001820096715|https://www.kroger.com/product/images/large/back/0001820096715|https://www.kroger.com/product/images/large/left/0001820096715|https://www.kroger.com/product/images/large/right/0001820096715|https://www.kroger.com/product/images/large/top/0001820096715|https://www.kroger.com/product/images/large/bottom/0001820096715,,,,
Kroger,Beverages,Soda & Pop,Kroger.com,https://www.kroger.com/p/coca-cola-classic-soda/0004900002890?fulfillment=PICKUP,,,Home>Beverages>Soda & Pop>Coca-Cola® Classic Soda,,Coca-Cola® Classic Soda,0004900002890,,,,,,"Enjoy Coca-Cola's® crisp, delicious taste with meals, on the go, or to share. Serve ice cold for maximum refreshment.",,6,,"Nutrition Facts
servings per container
Serving size1can (12 fluid ounce)
------

Amount per serving
Calories140
------

% Daily value*

Total Fat0g0%

Saturated Fat0g0%

Trans Fat0g

Cholesterol0mg0%

Sodium45mg1.96%

Total Carbohydrate39g14.18%

Sugar39g

Protein0g

------

Calcium0mg0%

Iron0mg0%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Contains Corn and Its Derivatives.,,6337,,,,0004900002890,Buy 3 For $13.00,5.99,,Buy 3 For $13.00,5.99,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0004900002890|https://www.kroger.com/product/images/large/back/0004900002890|https://www.kroger.com/product/images/large/left/0004900002890|https://www.kroger.com/product/images/large/right/0004900002890|https://www.kroger.com/product/images/large/top/0004900002890|https://www.kroger.com/product/images/large/bottom/0004900002890,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine",,,
Kroger,Frozen Foods,Frozen Pizza,Kroger.com,https://www.kroger.com/p/red-baron-classic-crust-pepperoni-pizza/0007218063473?fulfillment=SHIP,,20.6 oz,Home>Frozen Foods>Frozen Pizza>Red Baron Classic Crust Pepperoni Pizza,,Red Baron Classic Crust Pepperoni Pizza,0007218063473,,,,,,"RED BARON® - Calm mealtime chaos with the pizza the whole family loves! One bite into this pepperoni pizza and you'll savor the zesty tomato sauce, 100% real cheese, and hearty toppings of pepperoni. This crowd-pleasing Classic Crust is not too thick, not too thin with just the right amount of crust.Made with zesty tomato sauce, 100% real cheese, and hearty toppings of pepperoniCLASSIC CRUST that is not too thick, not too thin with just the right amount of crunchNO ARTIFICIAL FLAVORS and a preservative-free crustEASY TO PREPARE DINNER - just frozen pizza bake in the oven at 400°F for 17-22 minutes",,6,,"Nutrition Facts
servings per container
Serving size0.25pizza (146 g)
------

Amount per serving
Calories380
------

% Daily value*

Total Fat18g27.69%

Saturated Fat9g45%

Trans Fat0g

Cholesterol45mg15%

Sodium810mg33.75%

Total Carbohydrate39g13%

Dietary Fiber2g8%

Sugar8g

Protein15g

------

Calcium250mg25%

Iron2.7mg15%

Vitamin A400Number of International Units8%

Vitamin C1.2mg2%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.","Contains Wheat and Their Derivatives,Other gluten Containing Grain and Gluten Containing Grain Products,Soybean and its Derivatives,Milk and its Derivatives,Corn and Its Derivatives.",,331,,,,0007218063473,,$4.49,3.99,,$4.49,3.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0007218063473|https://www.kroger.com/product/images/large/back/0007218063473|https://www.kroger.com/product/images/large/left/0007218063473|https://www.kroger.com/product/images/large/right/0007218063473|https://www.kroger.com/product/images/large/top/0007218063473|https://www.kroger.com/product/images/large/bottom/0007218063473,"Tomatoes (Water, Tomato Paste), Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Salt, Enzymes), Pepperoni Made With Pork, Chicken and Beef (Pork, Mechanically Separated Chicken, Beef, Salt, Contains 2% or Less of: Water, Dextrose, Spices, Smoked Flavoring, Lactic Acid Starter Culture, Sodium Ascorbate, Flavoring, Garlic Powder, Sodium Nitrite, BHA, BHT, Citric Acid, Contains One or More of: Paprika, Oleoresin of Paprika), Water, Contains 2% or Less of: Yeast, Palm Oil, Vegetable Oil (Soybean and/or Canola Oil), Sugar, Salt, Modified Food Starch, Spice, Sea Salt, Maltodextrin, Dried Garlic, Hydrolyzed Soy and Corn Protein, Paprika, Dried Onion, Wheat Starch, L-cysteine Hydrochloride, Ammonium Sulfate, Natural Flavor, Soy Lecithin, Enzymes (Contains Wheat), Ascorbic Acid (Dough Conditioner)",,,
Kroger,Frozen Foods,"Frozen Meat, Seafood & Meatless",Kroger.com,https://www.kroger.com/p/morningstar-farms-veggie-breakfast-plant-protein-original-meatless-sausage-patties/0002898910088?fulfillment=SHIP,,8 oz,"Home>Frozen Foods>Frozen Meat, Seafood & Meatless>MorningStar Farms Veggie Breakfast Plant-Protein Original Meatless Sausage Patties",,MorningStar Farms Veggie Breakfast Plant-Protein Original Meatless Sausage Patties,0002898910088,,,,,,"A delicious meat-free addition to any balanced breakfast, Morningstar Farms Originals Sausage Patties are plant-based and seasoned with an inviting blend of aromatic herbs and spices. With 81% less fat than cooked pork sausage, Morningstar Farms Original Sausage Patties provide a good source of protein (9 grams per serving; 13% of daily value).Mouthwatering and meatless, MorningStar Farms plant-based Original Sausage Patties are a delicious, meat-free addition to any balanced breakfastSavory veggie sausage patties seasoned with an inviting blend of aromatic herbs and spices; Enjoy with breakfast scrambles, waffles, pancakes, biscuits and veggie gravy, in a breakfast frittata, or even a veggie flatbread100% vegetarian; Kosher Dairy; Contains wheat, soy, egg, and milk ingredientsA quick, convenient frozen breakfast side; To prepare, heat in the skillet (recommended), microwave or oven; Makes a tasty snack at work, afternoon pick-me-up, or late-night biteIncludes 1, 8-ounce resealable bag containing 6 frozen Original Sausage Patties; Store in the freezer; Packaged for great taste",,4,,"Nutrition Facts
servings per container
Serving size1patty (38 g)
------

Amount per serving
Calories70
------

% Daily value*

Total Fat3g4.62%

Saturated Fat0g0%

Trans Fat0g

Cholesterol0mg0%

Sodium260mg10.83%

Total Carbohydrate3g1%

Dietary Fiber1g4%

Sugar0g

Protein9g

------

Calcium0mg0%

Iron1.4mg7.78%

Vitamin A0Number of International Units0%

Vitamin C0mg0%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.","Contains Wheat and Their Derivatives,Eggs and Their Derivatives,Other gluten Containing Grain and Gluten Containing Grain Products,Soybean and its Derivatives,Milk and its Derivatives,Corn and Its Derivatives.",,511,,,,0002898910088,,3.99,,,3.99,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0002898910088|https://www.kroger.com/product/images/large/back/0002898910088|https://www.kroger.com/product/images/large/left/0002898910088|https://www.kroger.com/product/images/large/top/0002898910088,"Water, Wheat Gluten, Soy Protein Concentrate, Corn Oil, Soy Flour, Egg Whites, Sodium Caseinate, Modified Tapioca Starch, Contains Two Percent or Less of: Soy Protein Isolate, Lactose, Soybean Oil, Methylcellulose, Autolyzed Yeast Extract, Spices, Natural and Artificial Flavors, Sodium Tripolyphosphate, Salt, Modified Corn Starch, Hydrolyzed Wheat Gluten, Disodium Inosinate, Caramel Color, Whey, Hydrolyzed Corn Gluten, Hydrolyzed Soy Protein, Potassium Chloride, Dextrose, Onion Powder, Disodium Guanylate, Tetrasodium Pyrophosphate, Tricalcium Phosphate, Hydrolyzed Wheat Protein, Sodium Hexametaphosphate, Lactic Acid Brewer's Yeast, Torula Yeast, Calcium Phosphate, Soy Lecithin, Iron (Ferrous Sulfate), Magnesium Carbonate, Vitamin B1 (Thiamin Mononitrate), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B2 (Riboflavin), Vitamin B12",,,
Kroger,Frozen Foods,Frozen Pizza,Kroger.com,https://www.kroger.com/p/totino-s-pepperoni-party-frozen-pizza/0004280011400?fulfillment=SHIP,,10.2 oz,Home>Frozen Foods>Frozen Pizza>Totino's Pepperoni Party Frozen Pizza,,Totino's Pepperoni Party Frozen Pizza,0004280011400,,,,,,"Enjoy classic flavorful thin-crust pizza anytime with Totino's Pepperoni Party Pizza. Made with a delicious tasty crust and irresistibly cheesy pepperoni topping, this pizza is easy to cook and makes dinners a breeze any day of the week. Always keep a Totino's pizza in your freezer for a pepperoni classic that's ready to enjoy at a moment's notice.Pepperoni and cheesy toppings on a crispy, golden crustSimply pop in the oven or toaster oven and enjoy crispy pizza in minutesGreat as a pizza party meal or anytime snack",,2,,"Nutrition Facts
servings per container
Serving size0.5pizza (145 g)
------

Amount per serving
Calories340
------

% Daily value*

Total Fat16g24.62%

Saturated Fat4.5g22.5%

Trans Fat0g

Cholesterol10mg3.33%

Sodium680mg28.33%

Total Carbohydrate37g12.33%

Dietary Fiber2g8%

Sugar4g

Protein11g

------

Calcium100mg10%

Iron1.8mg10%

Vitamin A300Number of International Units6%

Vitamin C0mg0%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.","Contains Wheat and Their Derivatives,Other gluten Containing Grain and Gluten Containing Grain Products,Soybean and its Derivatives,Milk and its Derivatives,Corn and Its Derivatives.",,0,,,,0004280011400,4 For $5.00,$1.50,1.25,4 For $5.00,$1.50,1.25,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0004280011400|https://www.kroger.com/product/images/large/back/0004280011400,"Enriched Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Tomato Puree (Water, Tomato Paste), Imitation Mozzarella Cheese (Water, Palm Oil, Rennet Casein, Modified Potato Starch, Soybean Oil, Potato Starch, Vital Wheat Gluten, Sodium Aluminum Phosphate, Potassium Chloride, Salt, Citric Acid, Potassium Sorbate [Preservative], Sodium Phosphate, Sodium Citrate, Titanium Dioxide [Artificial Color], Maltodextrin, Magnesium Oxide, Canola Oil, Zinc Oxide, Riboflavin, Vitamin A Palmitate, Vitamin B6, Vitamin B12), Vegetable Oil, Cooked Bacon (Cured With: Water, Salt, Sugar, Sodium Nitrite. Fat Contains: Natural Smoked Flavoring, Sodium Phosphate, Sodium Erythorbate, Sodium Ascorbate), Pepperoni Pizza Topping (Pepperoni Made With Pork, Chicken and Beef [Pork, Mechanically Separated Chicken, Beef, Salt, Natural Flavor, Dextrose, Lactic Acid Starter Culture, Oleoresin of Paprika, Sodium Ascorbate, Sodium Nitrite, BHA and BHT and Citric Acid Added To Protect Flavor, Natural Smoked Flavor], Water, Soy Protein Isolate).Contains Less Than 2% of: Rehydrated Fat Free Mozzarella Cheese (Water, Skim Milk, Cheese Cultures, Salt, Enzymes, Citric Acid, Vitamin A Palmitate, Vitamin B6), Modified Corn Starch, Sugar, Salt, Dry Yeast, Defatted Soy Flour, Dextrose, Spice, Monocalcium Phosphate, Sodium Bicarbonate, Beet Powder, Rehydrated Enzyme Modified Cheese (Water, Milk, Cheese Cultures, Salt, Enzymes), Citric Acid, Malic Acid, Xanthan Gum, Sorbitan Monostearate, Maltodextrin, TBHQ (Preservative), Ascorbic Acid, Natural Flavor.",,,
Kroger,Beverages,Coffee,Kroger.com,https://www.kroger.com/p/folgers-classic-roast-medium-ground-coffee/0002550020421?fulfillment=SHIP,,,Home>Beverages>Coffee>Folgers Classic Roast Medium Ground Coffee,,Folgers Classic Roast Medium Ground Coffee,0002550020421,,,,,,"No matter what morning brings, you know you can count on the iconic red Folgers coffee canister for The Best Part of Wakin’ Up. Folgers Classic Roast ground coffee has been loved for generations for its famously fresh aroma and rich, smooth flavor. It’s the quintessential Folgers medium roast coffee — a timeless tradition that’s become a modern morning essential. A delicious highlight in even the most hectic mornings. And in its traditional ground coffee form, it’s versatile enough to use in a wide range of home coffee makers. Stock up now, and keep plenty on-hand to help make every day a little better.Fresh aroma and rich, smooth flavor that have been brewing for generationsMade from rich, mountain-grown, 100% arabica beans that are custom-roasted for more flavorInterlocking AromaSeal lid makes sure you enjoy fresh-tasting coffee every timeInner seal peels away easily and eliminates the need for a can openerWorks with a wide range of home coffee makersCanister holds enough coffee to make up to 240 cups (6 fluid ounces)",,3,,"Nutrition Facts
servings per container
Serving size8fl oz (237 g)
------

Amount per serving
Calories2.4
------

% Daily value*

Total Fat0.05g0.06%

Saturated Fat0.01g0.05%

Trans Fat0g

Polyunsaturated Fat0.002g

Monounsaturated Fat0.036g

Cholesterol0mg0%

Sodium4.7mg0.2%

Total Carbohydrate0g0%

Dietary Fiber0g0%

Sugar0g

Protein0.284g

------

Calcium4.74mg0%

Iron0.024mg0%

Vitamin A0mcg0%

Vitamin C0mg0%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Not intentionally nor inherently included Does Not Contain Declaration Obligatory Allergens.,,657,,,,0002550020421,,8.79,,,8.79,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0002550020421|https://www.kroger.com/product/images/large/left/0002550020421|https://www.kroger.com/product/images/large/right/0002550020421,100% Pure Coffee,,,
