Retailer,Category,Sub-Category,Domain,URL,Size,Product Hierarchy,Brand,Product Name,SKU,Reg. Price,Prime,Promo Tag,Each Price,Product Description,Product Details,# of Images,Nutrition,Lifestyle/Dietary Need,Image URLs,Promo Price
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/rich-instant-coffee/p/20873036_EA,170 g,Food > Drinks > Coffee > Instant Coffee,Nescafe,Rich Instant Coffee,20873036_EA,7.99 ea,,,4.7/100g,,"NESCAFÉ Rich Instant Coffee (170 g) makes a deliciously rich tasting coffee from 100% natural coffee beans. A perfect way to kick-start the day.

- 170 g jar of instant coffee
- Made from 100% natural coffee beans
- Has been waking up with Canadians for over 75 years
- Makes over 85 servings",3,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20873036/b2/en/front/20873036_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20873036/b2/en/angle/20873036_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20873036/b2/en/side/20873036_side_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/original-roast-ground-coffee/p/20312861001_EA,925 g,Food > Drinks > Coffee > Ground Coffee,Maxwell House,Original Roast Ground Coffee,20312861001_EA,15.99 ea,,,1.73/100g,,"925 Gram Tin of Roast and Ground Coffee. 100% Pure Ground Coffee. Maxwell House coffee is good to the last drop. Available in one grind, for all coffee makers. Tin is recyclable where facilities exist. Maxwell House coffee was first served to the guests of the Maxwell House Hotel in 1892. The guests loved it so much that the hotel ran out after a few days and had to return to its usual brand. After patrons complained, Maxwell House became the only coffee served at the hotel. That's how we got our name, and our coffee has been good to the last drop ever since.

- 100% Pure Ground Coffee
- Good to the last drop
- Available in one grind, for all coffee makers
- Container recyclable where facilities exist
- Perfectly roasted for a smooth, balanced taste",7,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		100.0 gr		
Serving Size EN		100.0 gr		
Serving Size EN		100.0 gr		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Calories		0 cal		
Calories		0 cal		
Calories		0 cal		
Total Fat		0.0 g		
Total Fat		0.0 g		
Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
Total Carbohydrate		0 g		
Total Carbohydrate		0 g		
Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
Protein		0.0 g		
Protein		0.0 g		
Protein		0.0 g		
				
				
				
Cholesterol		0 mg		
Cholesterol		0 mg		
Cholesterol		0 mg		
Sodium		0 mg		
Sodium		0 mg		
Sodium		0 mg		",,https://assets.shop.loblaws.ca/products/20312861001/b2/en/front/20312861001_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861001/b2/en/angle/20312861001_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861001/b2/en/side/20312861001_side_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861001/b2/en/back/20312861001_back_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861001/b2/en/top/20312861001_top_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861001/b2/en/open/20312861001_open_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861001/b2/en/closed/20312861001_closed_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/classic-instant-coffee/p/20661811001_EA,100 g,Food > Drinks > Coffee > Instant Coffee,Nescafe,Classic Instant Coffee,20661811001_EA,7.99 ea,,,7.99/100g,,"Get a perfectly rich, robust coffee in mere moments with NESCAFÉ TASTER’S CHOICE Classic Instant Coffee (100 g). We carefully select beans from around the world to ensure a quality, well-rounded, and oh-so-satisfying smooth coffee. Every morning, you can rely on TASTER’S CHOICE to provide a delicious cup, every time.

- Instant coffee made from 100% pure, specially-selected coffee beans.
- We carefully select beans from around the world to ensure a deliciously well-rounded and oh-so-satisfying smooth coffee, every time.
- NESCAFÉ TASTER’S CHOICE has 0 calories. It’s what you add that counts!",3,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20661811001/b2/en/front/20661811001_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20661811001/b2/en/angle/20661811001_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20661811001/b2/en/side/20661811001_side_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/west-coast-dark-roast-coffee/p/20326678_EA,875 g,Food > Drinks > Coffee,President's Choice,West Coast Dark Roast Coffee,20326678_EA,11.99 ea,,SALE,1.14/100g,,"Meet our bestselling PC Coffee. Launched almost 20 years ago – and developed for serious dark roast enthusiasts – our exclusive West Coast blend is made with some of the world’s finest arabica beans including Indonesian Sumatran Mandheling, Kenyan and Ethiopian. They’re specially selected and roasted to deliver a bold, intense flavour with a heady aroma and full body. We love the way it complements a buttery French toast or cinnamon pastries first thing in the morning. Already time for a coffee break? Pair it with our PC The Decadent Chocolate Chip Cookies or anything caramel-y you can get your hands on.",1,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20326678/b2/en/front/20326678_front_a06_@2.png,9.99 ea
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/classic-roast-ground-coffee/p/20326087_EA,920 g,Food > Drinks > Coffee > Ground Coffee,Folgers,Classic Roast Ground Coffee,20326087_EA,11.99 ea,,SALE,0.98/100g,,"Enjoy our signature coffee blend - Folgers Classic Roast. A medium roast coffee specially ground for a smooth, balanced taste and aroma.",1,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20326087/b2/en/front/20326087_front_a06_@2.png,8.99 ea
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/original-fine-grind-coffee/p/20875767_EA,930 g,Food > Drinks > Coffee > Ground Coffee,Tim Hortons,Original Fine Grind Coffee,20875767_EA,18.99 ea,,,2.04/100g,,"TIM HORTONS ORIGINAL BLEND IS A PERFECTLY BALANCED, MEDIUM ROAST COFFEE WITH A SMOOTH FINISH. OUR UNIQUE BLEND OF 100% PREMIUM ARABICA BEANS IS SOURCED FROM THE WORLD'S MOST RENOWNED COFFEE GROWING REGIONS, AND EXPERTLY ROASTED IN CANADA TO DELIVER TIM HORTONS SIGNATURE FLAVOUR EVERY TIME.",1,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20875767/b2/en/front/20875767_front_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/original-k-cup-coffee-pods/p/21166682_EA,30 ea,Food > Drinks > Coffee > Coffee Pods,Tim Hortons,Original K-Cup Coffee Pods,21166682_EA,19.99 ea,,SALE,0.57/1ea,,"TIM HORTONS ORIGINAL BLEND IS A PERFECTLY BALANCED, MEDIUM ROAST COFFEE WITH A SMOOTH FINISH. OUR UNIQUE BLEND OF 100% PREMIUM ARABICA BEANS IS SOURCED FROM THE WORLD'S MOST RENOWNED COFFEE GROWING REGIONS, AND EXPERTLY ROASTED IN CANADA TO DELIVER TIM HORTONS SIGNATURE FLAVOUR EVERY TIME.",3,,,https://assets.shop.loblaws.ca/products/21166682/b2/en/front/21166682_front_a06_@2.png| https://assets.shop.loblaws.ca/products/21166682/b2/en/angle/21166682_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/21166682/b2/en/side/21166682_side_a06_@2.png,16.99 ea
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/the-great-canadian-coffee/p/20316972001_EA,930 g,Food > Drinks > Coffee > Ground Coffee,President's Choice,The Great Canadian Coffee,20316972001_EA,11.99 ea,,SALE,1.07/100g,,"Launched in 2003, our PC® The Great Canadian Coffee quickly became one of our most popular PC® coffees – and still is today. Our goal was to create a light, easy–sipping coffee that tastes just like the familiar morning brew you grab at a drive-thru or doughnut shop. How did we do it? With a blend of 100% arabica beans, including Colombian and Kenyan, that captures the mellow comfort and bright, crisp aroma Canadians love. It’s delicious on its own – and mild enough to complement any breakfast food. Ahhhh. Or should we say, Ehhhh.",1,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20316972001/b2/en/front/20316972001_front_a06_@2.png,9.99 ea
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/rich-dark-roast-ground-coffee/p/20312861002_EA,925 g,Food > Drinks > Coffee > Ground Coffee,Maxwell House,Rich Dark Roast Ground Coffee,20312861002_EA,15.99 ea,,,1.73/100g,,"925 Gram Tin of Roast and Ground Coffee. 100% Pure Ground Coffee. Maxwell House coffee is good to the last drop. Available in one grind, for all coffee makers. Tin is recyclable where facilities exist. Maxwell House coffee was first served to the guests of the Maxwell House Hotel in 1892. The guests loved it so much that the hotel ran out after a few days and had to return to its usual brand. After patrons complained, Maxwell House became the only coffee served at the hotel. That's how we got our name, and our coffee has been good to the last drop ever since.

- 100% Pure Ground Coffee
- Good to the last drop
- Available in one grind, for all coffee makers
- Container recyclable where facilities exist
- Perfectly roasted for a smooth, balanced taste",6,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		100.0 gr		
Serving Size EN		100.0 gr		
Serving Size EN		100.0 gr		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Calories		0 cal		
Calories		0 cal		
Calories		0 cal		
Total Fat		0.0 g		
Total Fat		0.0 g		
Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
Total Carbohydrate		0 g		
Total Carbohydrate		0 g		
Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
Protein		0.0 g		
Protein		0.0 g		
Protein		0.0 g		
				
				
				
Cholesterol		0 mg		
Cholesterol		0 mg		
Cholesterol		0 mg		
Sodium		0 mg		
Sodium		0 mg		
Sodium		0 mg		",,https://assets.shop.loblaws.ca/products/20312861002/b2/en/front/20312861002_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861002/b2/en/angle/20312861002_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861002/b2/en/side/20312861002_side_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861002/b2/en/back/20312861002_back_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861002/b2/en/top/20312861002_top_a06_@2.png| https://assets.shop.loblaws.ca/products/20312861002/b2/en/open/20312861002_open_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/original-roast-150g-instant-coffee/p/21026608_EA,150 g,Food > Drinks > Coffee > Instant Coffee,Maxwell House,Original Roast 150g Instant Coffee,21026608_EA,6.99 ea,,,4.66/100g,,"150 Gram Jar of Instant Coffee. 100% Pure Coffee. Maxwell House coffee is good to the last drop. Jar is recyclable where facilities exist. Roasted to perfection and perfect for life on the go.Maxwell House coffee was first served to the guests of the Maxwell House Hotel in 1892. The guests loved it so much that the hotel ran out after a few days and had to return to its usual brand. After patrons complained, Maxwell House became the only coffee served at the hotel. That's how we got our name, and our coffee has been good to the last drop ever since.

- 100% Pure Coffee
- Good to the last drop
- Container recyclable where facilities exist
- Resealable lid
- Perfectly roasted for a smooth, balanced taste",3,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		100.0 gr		
Serving Size EN		100.0 gr		
Serving Size EN		100.0 gr		
Calories		0 cal		
Calories		0 cal		
Calories		0 cal		
Total Fat		0.0 g		
Total Fat		0.0 g		
Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
Total Carbohydrate		0 g		
Total Carbohydrate		0 g		
Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
		Total Carbohydrate		0 g		
Protein		0.0 g		
Protein		0.0 g		
Protein		0.0 g		
				
				
				
Cholesterol		0 mg		
Cholesterol		0 mg		
Cholesterol		0 mg		
Sodium		0 mg		
Sodium		0 mg		
Sodium		0 mg		",,https://assets.shop.loblaws.ca/products/21026608/b2/en/front/21026608_front_a06_@2.png| https://assets.shop.loblaws.ca/products/21026608/b2/en/angle/21026608_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/21026608/b2/en/side/21026608_side_a06_@2.png,
