Retailer,Category,Sub-Category,Domain,URL,Colors,Size,Product Hierarchy,Brand Name,Product Name,SKU,UPC,ID,Walmart Item #,Regular Price,Promo Price,Prime Price,Promo Tag,Each Price,Product Description,Product Details,Product Specification,Images,# of Images,Marketplace/3rd party seller,Nutrition Information,Lifestyle/Dietary Need,Delivery,Total Product Star Rating,Total # of Ratings,Total Recommendation Percentage,Total Number of Q&A
Walmart Canada,Frozen,Pizzas,walmart.ca,https://www.walmart.ca/en/ip/dr-oetker-ristorante-pizza-spinaci/6000001851513,,390 g,Walmart.ca > Grocery > Frozen Food > Frozen Pizza,Dr.Oetker,Dr. Oetker Ristorante Pizza Spinaci,SKU:10260206,UPC:5833617000,ID:6000001851513,Walmart Item #:9129477,$4.98,,,,$1.28/100GR,"This unique pizza is layered with savoury leaves of spinach, edam cheese and mozzarella cheese, perfected by a hearty garlic sauce.",,"[{""Product Type"":""Vegetarian""},{""Storage Type"":""Frozen""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No sesame,No shellfish,No sulfite,Vegetarian-friendly""}]",https://i5.walmartimages.ca/images/Enlarge/108/879/108879.jpg,1,Sold by Walmart,"Crust ENRICHED WHEAT FLOUR, WATER, SOYA OIL, YEAST, SALT, SUGAR Sauce TOMATO PUREE, WATER, CANOLA OIL, SALT, SUGAR, MODIFIED CORN STARCH, SOYA OIL, MODIFIED PALM OIL, GARLIC POWDER, HYDROLYZED CORN PROTEIN, DEXTROSE, MONO AND DIGLYCERIDES, SPICES, CARAMEL COLOUR Toppings SPINACH Cheeses EDAM AND MOZZARELLA CHEESE (MILK, BACTERIAL CULTURE, SALT, MICROBIAL ENZYME, CALCIUM CHLORIDE) Contains: Wheat, Milk","No egg,No fish,No sesame,No shellfish,No sulfite,Vegetarian-friendly",Add to Cart; Find in Store,4.7,6,,
Walmart Canada,Frozen,Meatless Alternatives,walmart.ca,https://www.walmart.ca/en/ip/janes-pub-style-breaded-chicken-cutlette-strips/6000199788885,,700g,"Walmart.ca > Grocery > Frozen Food > Frozen Meat, Seafood & Alternatives > Frozen Chicken & Turkey",Janes,Janes Pub Style Breaded Chicken Cutlette Strips,SKU:6000199788886,UPC:6929912689,ID:6000199788885,Walmart Item #:31670679,$8.97,,,,$1.28/100GR,"Janes Pub Style Chicken Strips are the absolute favourite of parents and kids alike and are found in freezers all across the country. And it is no wonder, since Janes Pub Style Chicken Strips are crunchy on the outside and made with white meat on the inside, and contain no preservatives, artificial flavours or colours.  Janes Pub Style Chicken Strips are the perfect add-on to sandwich wraps, salads and pasta dinners so you are ready for every day and family dinners that are sure to please even the pickiest eaters, so protect your plate from wandering hands.","• Made with White Meat
• No Preservatives
• No artificial flavours or colours
• Zero Trans Fat
• Low in Saturated Fat
• Fully Cooked","[{""Product Type"":""Other""},{""Cut"":""Strips""},{""Singleserve"":""No""},{""Storage Type"":""Frozen""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""N\/A""}]",https://i5.walmartimages.ca/images/Enlarge/512/524/6000200512524.jpg | https://i5.walmartimages.ca/images/Enlarge/512/523/6000200512523.jpg | https://i5.walmartimages.ca/images/Enlarge/620/757/6000200620757.jpg | https://i5.walmartimages.ca/images/Enlarge/564/674/6000203564674.jpg,4,Sold by Walmart,"Chicken Breast, Water, Toasted wheat crumbs, Canola oil, Whole grain wheat flour, Wheat flour, Modified corn starch, Soy protein isolate, Rice startch, Salt, Pea fibre, Sugar, Baking powder, Spices, Spice extracts, Natural flavour. May contain Egg.",N/A,Add to Cart; Find in Store,3.2,13,,
Walmart Canada,Frozen,Meatless Alternatives,walmart.ca,https://www.walmart.ca/en/ip/fontaine-sant-extra-firm-plain-tofu/6000201431051,,400 g,"Walmart.ca > Grocery > Meat, Seafood & Alternatives > Tofu & Plant-Based Proteins",Fontaine Santé,Fontaine Santé Extra Firm Plain Tofu,SKU:6000201431052,UPC:77033306000,ID:6000201431051,Walmart Item #:30760929,$2.97,,,,,"Fontaine Santé Tofu, Extra Firm Plain is high in protein and made with non-GMO soybeans. Infuse this versatile tofu with your favourite flavors for a healthy addition to your savory recipes. Enjoy this tofu baked, pan-fried, stir-fried or deep-fried. So many health-conscious and delicious possibilities await with Fontaine Santé Tofu.",,"[{""Storage Type"":""Refrigerate""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""""}]",https://i5.walmartimages.ca/images/Enlarge/784/385/6000201784385.jpg | https://i5.walmartimages.ca/images/Enlarge/784/384/6000201784384.jpg | https://i5.walmartimages.ca/images/Enlarge/784/384/6000201784384.jpg,3,Sold by Walmart,"Non-GMO soybeans, Water, Magnesium chloride. Contains: Soy.",,Add to Cart; Find in Store,3.6,5,,
Walmart Canada,Drinks,Soft Drinks/Sodas,walmart.ca,https://www.walmart.ca/en/ip/coca-cola-355ml-cans-12-pack/6000016955730,,12 x 355 mL,Walmart.ca > Grocery > Drinks > Soft Drinks > Cola,Coca-Cola,"Coca-Cola 355mL Cans, 12 Pack",SKU:206873,"UPC:6700010483"",""6700000854"",""6700010422",ID:6000016955730,Walmart Item #:9210738,$5.47,,,,$0.13/100ML,"Soda. Pop. Soft drink. Sparkling beverage. Carbonated drink.

Whatever you call it, nothing compares to the refreshing, crisp taste of Coca-Cola, the delicious soda you know and love. Enjoy with friends, on the go or with a meal. Whatever the occasion, wherever you are, Coca-Cola makes life’s special moments a little bit better.

Since 1886, its great taste has stood the test of time. Something so delicious, so unique and so familiar, it’s what makes you think “Coca-Cola” whenever you hear “soft drink.” Between that perfect taste and refreshing fizz, it’s sure to give you that “ahhh” moment whenever you want it. 

Looking for something zero sugar? Then look no further than Coca-Cola Zero Sugar. Whatever you’re looking for in a soda, there’s a Coca-Cola to satisfy your taste buds.
 
Every sip, every “ahhh,” every smile—find that feeling with Coca-Cola. Best enjoyed ice-cold for maximum refreshment. Grab a Coca-Cola, take a sip and find your “ahhh” moment.

Enjoy Coca-Cola","12 cans of Coca-Cola — the refreshing, crisp taste you know and love
Great taste since 1886
34 mg caffeine in each 355 mL serving
355 mL in each can
This carbonated beverage is best enjoyed ice-cold for maximum refreshment","[{""Flavour"":""Cola""},{""Singleserve"":""No""},{""Storage Type"":""Refrigerate""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No sulfite,No wheat,No lactose,Kosher,Vegan-friendly,Vegetarian-friendly""}]",https://i5.walmartimages.ca/images/Enlarge/155/463/155463.jpg | https://i5.walmartimages.ca/images/Enlarge/546/3_1/155463_1.jpg | https://i5.walmartimages.ca/images/Enlarge/094/207/6000199094207.jpg | https://i5.walmartimages.ca/images/Enlarge/114/472/6000200114472.jpg | https://i5.walmartimages.ca/images/Enlarge/114/463/6000200114463.jpg | https://i5.walmartimages.ca/images/Enlarge/114/485/6000200114485.jpg | https://i5.walmartimages.ca/images/Enlarge/192/698/6000200192698.jpg | https://i5.walmartimages.ca/images/Enlarge/192/721/6000200192721.jpg | https://i5.walmartimages.ca/images/Enlarge/192/661/6000200192661.jpg | https://i5.walmartimages.ca/images/Enlarge/162/368/6000200162368.jpg | https://i5.walmartimages.ca/images/Enlarge/162/368/6000200162368.jpg,11,Sold by Walmart,"CARBONATED WATER, SUGAR/GLUCOSE-FRUCTOSE, CARAMEL COLOUR, PHOSPHORIC ACID, NATURAL FLAVOUR, CAFFEINE.","No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No sulfite,No wheat,No lactose,Kosher,Vegan-friendly,Vegetarian-friendly",Add to Cart; Find in Store,4.2,6,,2
Walmart Canada,Frozen,Pizzas,walmart.ca,https://www.walmart.ca/en/ip/dr-oetker-casa-di-mama-3-meat-pizza/6000001851524,,395 g,Walmart.ca > Grocery > Frozen Food > Frozen Pizza,Dr.Oetker,Dr. Oetker Casa di Mama 3 Meat Pizza,SKU:10260185,UPC:5833617303,ID:6000001851524,Walmart Item #:9138045,$4.98,,,,$1.26/100GR,"Casa Di Mama… Homemade pizza taste just like Mama used to make!
Dr. Oetker Casa Di Mama 3 Meat Pizza is topped with a spiced tomato sauce and deli meats including pepperoni, smoked ham and chunks of Italian sausage. 

Cooking Instructions: 
1. Ensure oven rack is in the middle position. Preheat oven to 450oF (230oC). Keep pizza frozen until ready to bake.
2. Remove pizza from packaging
3. Loosen the baking parchment and lift off together with the pizza from the cardboard
4. Place the pizza with parchment on a dark or non-shiny pizza pan
5. Bake for 14-16 minutes and until cheese is melted and crust is golden brown. 

NOTE: Individual oven cooking times may vary. CAUTION: Pizza will be very hot",Made in Canada,"[{""Product Type"":""Meat""},{""Storage Type"":""Frozen""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No sesame,No shellfish,No sulfite""}]",https://i5.walmartimages.ca/images/Enlarge/108/888/108888.jpg,1,Sold by Walmart,"Crust ENRICHED WHEAT FLOUR, WATER, YEAST, MODIFIED PALM OIL, SALT, SUGAR, BARLEY MALT EXTRACT, MONOCALCIUM PHOSPHATE, BAKING SODA, ACETYLATED TARTARIC ACID ESTERS OF MONO AND DIGLYCERIDES, DICALCIUM PHOSPHATE, GUAR GUM, HYDROGENATED CANOLA OIL, CANOLA OIL, CALCIUM CITRATE, ASCORBIC ACID, PENTOSANASE, AMYLASE Toppings PEPPERONI (PORK, SALT, SPICES, DEXTROSE, WATER, ONION POWDER, SPICE EXTRACTS, GARLIC POWDER, ASCORBIC ACID, SODIUM NITRITE, BACTERIAL CULTURE, SODIUM ASCORBATE, SMOKE), COOKED HAM (PORK, WATER, SALT, DEXTROSE, SODIUM PHOSPHATES, SMOKE FLAVOUR, SODIUM ASCORBATE, NATURAL FLAVOUR, SODIUM NITRITE), ITALIAN SAUSAGE (PORK, WATER, TOASTED BREADCRUMBS, SALT, SPICES, GARLIC POWDER, ONION POWDER, DEXTROSE, SODIUM PHOSPHATES, SPICE EXTRACTS, ASCORBIC ACID, SODIUM ASCORBATE), HERBS Sauce TOMATO PUREE, WATER, SUGAR, OLIVE OIL, SALT, SPICES, MODIFIED CORN STARCH, GARLIC POWDER, SOYA OIL Cheeses EDAM AND MOZZARELLA CHEESE (MILK, BACTERIAL CULTURE, SALT, MICROBIAL ENZYME, CALCIUM CHLORIDE) CONTAINS: WHEAT, BARLEY, MILK /","No egg,No fish,No sesame,No shellfish,No sulfite",Add to Cart; Find in Store,4.3,3,,
Walmart Canada,Drinks,Coffee,walmart.ca,https://www.walmart.ca/en/ip/maxwell-house-original-roast-instant-coffee/6000197175646,,150G,Walmart.ca > Grocery > Drinks > Coffee > Instant Coffee,Maxwell House,Maxwell House Original Roast Instant Coffee,SKU:6000197175647,UPC:6618800469,ID:6000197175646,Walmart Item #:30579498,$4.97,,,,$3.31/100GR,"Signature Blend in an Instant! Enjoy the classic, rich taste of Maxwell House's Signature Blend in an instant with our Original Roast Instant Coffee. This instant brew offers the same premium quality as the original Maxwell House ground coffee, and the same great taste as a traditional medium roast. A good day starts with a good cup of coffee.","• One 150G canister of Maxwell House Original Roast Instant Coffee
• Made with 100% pure ground coffee
• Ready in seconds, just stir into hot water and enjoy
• Maxwell House Coffee: Good to the Last Drop","[{""Product Type"":""Instant""},{""Decaffeinated"":""No""},{""Singleserve"":""No""},{""Storage Type"":""Shelf""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No sulfite,No wheat,No lactose,No artificials,Kosher,No added sugars,Paleo-friendly,Vegan-friendly,Vegetarian-friendly,Whole30-friendly""}]",https://i5.walmartimages.ca/images/Enlarge/929/043/6000198929043.jpg | https://i5.walmartimages.ca/images/Enlarge/200/700/6000202200700.jpg | https://i5.walmartimages.ca/images/Enlarge/200/702/6000202200702.jpg | https://i5.walmartimages.ca/images/Enlarge/200/699/6000202200699.jpg | https://i5.walmartimages.ca/images/Enlarge/200/703/6000202200703.jpg | https://i5.walmartimages.ca/images/Enlarge/200/701/6000202200701.jpg,6,Sold by Walmart,100% PURE COFFEE,"No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No sulfite,No wheat,No lactose,No artificials,Kosher,No added sugars,Paleo-friendly,Vegan-friendly,Vegetarian-friendly,Whole30-friendly",Add to Cart; Find in Store,4.8,20,,6
Walmart Canada,Frozen,Meatless Alternatives,walmart.ca,https://www.walmart.ca/en/ip/yves-bologna/6000196182241,,"156 g, Veggie Bologna","Walmart.ca > Grocery > Meat, Seafood & Alternatives > Tofu & Plant-Based Proteins",Yves,Yves Bologna,SKU:6000196182242,UPC:6082200006,ID:6000196182241,Walmart Item #:30428498,$3.47,,,,$3.47/1EA,"You’ll get all the great taste of bologna in these veggie slices but without the fat, cholesterol, or preservatives. Perfect for sandwiches and great in kids’ lunches!","Meat Alternatives
Kosher
Non-Dairy Options
Vegan
Vegetarian
Low Fat
No Trans Fat
Cholesterol Free
Good Source of Protein
No Artificial Colors and Flavors
Free of Artificial Preservatives
No Peanuts in this Product","[{""Storage Type"":""Refrigerate""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No milk,No sesame,No shellfish,No sulfite,No lactose,No artificials,Kosher,Vegan-friendly,Vegetarian-friendly""}]",https://i5.walmartimages.ca/images/Enlarge/935/459/6000197935459.jpg,1,Sold by Walmart,"Water, soy protein, wheat gluten, canola oil, cane sugar, salt, natural flavours, spices, carrageenan (from seaweed), yeast extract, wheat starch, beetroot powder, potassium chloride, citric acid, vitamin and mineral blend. Contains soy, wheat and mustard.","No egg,No fish,No milk,No sesame,No shellfish,No sulfite,No lactose,No artificials,Kosher,Vegan-friendly,Vegetarian-friendly",Add to Cart; Find in Store,4.5,2,,
Walmart Canada,Frozen,Pizzas,walmart.ca,https://www.walmart.ca/en/ip/delissio-rising-crust-pizza-deluxe/6000196287025,,888 GR,Walmart.ca > Grocery > Frozen Food > Frozen Pizza,Delissio,DELISSIO Rising Crust Pizza Deluxe,SKU:6000196287026,UPC:7192195129,ID:6000196287025,Walmart Item #:30875830,$5.44,,,,$0.61/100GR,"There’s nothing quite like a classic rising crust pizza topped with your favourite ingredients. DELISSIO® Rising Crust Pizza Deluxe (888 g) tops a high-rising, thick crust with Italian sausage, pepperoni, red and green peppers, black olives, and chopped onions – the ultimate blend of all flavours! Whether treating yourself or pleasing a crowd, the soft and fluffy crust with a crispy outside makes every night an irresistible pizza night. Made with high quality ingredients, it’s no wonder DELISSIO® is the Most Trusted Frozen Pizza Brand in Canada*. It’s easy to cook up a delish pizza that tastes just like delivery. It’s not delivery, It’s DELISSIO!® *BrandSpark International inc. 2017/2018","• A classic, thick crust with a fluffy inside, topped with Italian sausage, pepperoni, peppers, black olives, and onions
• Made with only quality ingredients, DELISSIO® is the Most Trusted Frozen Pizza Brand in Canada*
• Quick and easy way to turn any night into a mouth-watering pizza night – perfect for a night in, pleasing the crowd, or a tasty appetizer
• Add your favourite ingredients for your own pizza personalization
• The only door you need to open is your oven. It’s not delivery, it’s DELISSIO!®","[{""Product Type"":""Deluxe""},{""Singleserve"":""No""},{""Storage Type"":""Frozen""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No sesame,No shellfish,No sulfite""}]",https://i5.walmartimages.ca/images/Enlarge/951/290/999999-71921951290.jpg | https://i5.walmartimages.ca/images/Enlarge/595/564/6000199595564.jpg | https://i5.walmartimages.ca/images/Enlarge/595/563/6000199595563.jpg | https://i5.walmartimages.ca/images/Enlarge/595/562/6000199595562.jpg | https://i5.walmartimages.ca/images/Enlarge/780/858/6000203780858.jpg | https://i5.walmartimages.ca/images/Enlarge/780/856/6000203780856.jpg,6,Sold by Walmart,"Crust (wheat flour, water, sugar, corn meal, wheat gluten, soya oil, yeast, salt, modified palm oil, DATEM, baking soda, mineral oil, sunflower lecithin, ascorbic acid, glucoamylase, glucose oxidase, xylanase), Part-skim mozzarella cheese (partly skimmed milk, bacterial culture, salt, microbial enzyme), Sauce (water, tomato paste, soya oil, salt, garlic, spices and herbs), Cooked Italian sausage (pork, water, textured soy protein, salt, sugar, soya oil, pork fat, sodium phosphate, spices, flavour), Red and green peppers, Pepperoni (pork, salt, sugars [dextrose], bacterial culture, pork stock, garlic, sodium nitrite, sodium  ascorbate, citric acid, smoke flavour, flavour, spices [mustard], Onion, Black olive, Salt.","No egg,No fish,No sesame,No shellfish,No sulfite",Add to Cart; Find in Store,3.7,76,,
Walmart Canada,Frozen,Meatless Alternatives,walmart.ca,https://www.walmart.ca/en/ip/field-roast-italian-garlic-fennel-plant-based-sausage/6000199712156,,368 g,"Walmart.ca > Grocery > Meat, Seafood & Alternatives > Tofu & Plant-Based Proteins",n/a,Field Roast Italian Garlic & Fennel Plant-Based Sausage,SKU:6000199712157,UPC:63803161215,ID:6000199712156,Walmart Item #:31656528,$6.97,,,,,"Add a zesty kick to your favourite dishes with Field Roast® Italian Garlic & Fennel Plant-Based Sausage. Made with a flavourful combination of eggplant, onion, and sweet peppers, these meatless Italian sausages are a satisfying, fully cooked protein alternative with 28 grams of protein per serving. Enjoy the versatile meatless sausages on the barbecue, grilled on the stove, or broken up into sauces, stir-fries, and scrambles to bring a tasty Italian flair to your plant-based meals. Since 1997, the Field Roast® brand has crafted plant-based meats and cheeses from grains, fresh-cut vegetables, herbs, and spices, honouring our culinary roots to create authentic sensory experiences people crave.","FULLY COOKED PLANT-BASED SAUSAGES: A satisfying protein alternative for plant-based meals
BOLDLY SEASONED: Made with zesty garlic and fennel
DELICIOUSLY VERSATILE: Enjoy the meatless sausage hot off the grill or stove, or crumbled into sauces and scrambles
CERTIFIED VEGAN AND NON-GMO: Non-GMO Project Verified and Certified Vegan for delicious taste and texture without the guilt
FOR ALL THE FLAVOUR TRAILBLAZERS: Dedicated to crafting bold flavour profiles, Field Roast® brand transforms everyday meals into seriously delicious creations","[{""Storage Type"":""Refrigerate""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No lactose,Vegan-friendly,Vegetarian-friendly""}]",https://i5.walmartimages.ca/images/Enlarge/953/536/6000199953536.jpg,1,Sold by Walmart,"Filtered water, vital wheat gluten,  expeller  pressed safflower oil, eggplant, onions, naturally flavoured yeast extract, red wine (red wine, salt), garlic, barley malt, vegetable protein, onion powder, dried red bell pepper, fennel seed, granulated garlic, sea salt, spices. Vitamins and Minerals: potassium chloride, l-lysine monohydrochloride, niacinamide, reduced iron, zinc oxide, calcium pantothenate, pyridoxine hydrochloride and cyanocobalamin. Contains: wheat.","No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No lactose,Vegan-friendly,Vegetarian-friendly",Add to Cart; Find in Store,3.2,14,,
Walmart Canada,Drinks,Soft Drinks/Sodas,walmart.ca,https://www.walmart.ca/en/ip/coca-cola-222ml-cans-6-pack/6000002759444,,6 x 222 mL,Walmart.ca > Household Supplies & Pantry > Drinks > Soft Drinks > Cola,Coca-Cola,"Coca-Cola 222mL Cans, 6 Pack",SKU:10218495,UPC:6700010983,ID:6000002759444,Walmart Item #:9240000,$2.97,,,,$0.22/100ML,"Soda. Pop. Soft drink. Sparkling beverage. Carbonated drink.

Whatever you call it, nothing compares to the refreshing, crisp taste of Coca-Cola, the delicious soda you know and love. Enjoy with friends, on the go or with a meal. Whatever the occasion, wherever you are, Coca-Cola makes life’s special moments a little bit better.

Since 1886, its great taste has stood the test of time. Something so delicious, so unique and so familiar, it’s what makes you think “Coca-Cola” whenever you hear “soft drink.” Between that perfect taste and refreshing fizz, it’s sure to give you that “ahhh” moment whenever you want it. 

Looking for something zero sugar? Then look no further than Coca-Cola Zero Sugar. Whatever you’re looking for in a soda, there’s a Coca-Cola to satisfy your taste buds.
 
Every sip, every “ahhh,” every smile—find that feeling with Coca-Cola. Best enjoyed ice-cold for maximum refreshment. Grab a Coca-Cola, take a sip and find your “ahhh” moment.

Enjoy Coca-Cola","6 cans of Coca-Cola — the refreshing, crisp taste you know and love
Great taste since 1886
34 mg caffeine in each 355 mL serving
222 mL in each can
This carbonated beverage is best enjoyed ice-cold for maximum refreshment","[{""Flavour"":""Cola""},{""Singleserve"":""No""},{""Storage Type"":""Refrigerate""},{""Clearout Deal"":""No""},{""Lifestyle\/Dietary Need"":""No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No sulfite,No wheat,No lactose,Kosher,Vegan-friendly,Vegetarian-friendly""}]",https://i5.walmartimages.ca/images/Enlarge/750/611/750611.jpg | https://i5.walmartimages.ca/images/Enlarge/061/1_1/750611_1.jpg | https://i5.walmartimages.ca/images/Enlarge/114/549/6000200114549.jpg | https://i5.walmartimages.ca/images/Enlarge/114/562/6000200114562.jpg | https://i5.walmartimages.ca/images/Enlarge/114/513/6000200114513.jpg | https://i5.walmartimages.ca/images/Enlarge/114/468/6000200114468.jpg | https://i5.walmartimages.ca/images/Enlarge/192/597/6000200192597.jpg | https://i5.walmartimages.ca/images/Enlarge/192/747/6000200192747.jpg | https://i5.walmartimages.ca/images/Enlarge/192/645/6000200192645.jpg | https://i5.walmartimages.ca/images/Enlarge/36_/nft/67000109836_NFT.jpg | https://i5.walmartimages.ca/images/Enlarge/36_/nft/67000109836_NFT.jpg,11,Sold by Walmart,"CARBONATED WATER, SUGAR/GLUCOSE-FRUCTOSE, CARAMEL COLOUR, PHOSPHORIC ACID, NATURAL FLAVOUR, CAFFEINE.","No egg,No fish,No milk,No mustard,No sesame,No shellfish,No soy,No sulfite,No wheat,No lactose,Kosher,Vegan-friendly,Vegetarian-friendly",Add to Cart; Find in Store,4.8,4,,1
